Time [s],Packet ID,MOSI,MISO
0.070918875,0,0x1B6E5421,
0.2230934375,,0x0689C45E,
0.2261678125,,0xFAEDF8F6,
0.407162625,,0x3081852A,
0.5439966875,,0x08748184,
1.7189911875,,0xBCD298A6,
2.7706174375,,0x3A3D46DD,
2.8897081875,,0xD8A950B2,
3.4096735,,0x966AE9C4,
3.7082423125,,0xD6125B97,
4.3660605625,,0x1B6E5421,
4.518235125,,0x0689C45E,
4.5213095,,0xFAEDF8F6,
4.7023043125,,0x3081852A,
4.8391384375,,0x08748184,
6.014133,,0xBCD298A6,
